low,high,WT_mean,WT_sem,KO_mean,KO_sem
0.0,0.25,0.5310274969627143,0.007444833595294866,0.433223032403705,0.009533398880892554
0.25,1.0,0.6258682634730539,0.08447055177006002,0.6253443526170799,0.126311177063709
1.0,2.5,0.5834445584490103,0.040192134919349844,0.6650641025641025,0.05458573592322001
2.5,5.0,0.6157362870136817,0.029680979571678784,0.705619611550646,0.05338587702774349
5.0,10.0,0.6462189163594859,0.02186592007334965,0.6644303985777187,0.04105523972797873
10.0,inf,0.6121613835529596,0.02052940867712582,0.7469864014191564,0.04391788259776459
